Fiscal_year	M_RM	#Conflict_episodes	Claimed_Relief_Fund 	Received_Relief_Fund 
2075-2076	Thakurbaba_M	450	5394625	1833100
2075-2076	Madhuban_M	51	454475	237500
2075-2076	Bheriganga_M	20	201500	74500
2075-2076	Barbardia_M	40	386000	185500
2075-2076	Bansgadhi_M	26	328000	112000
2075-2076	Baijnath_RM	0	0	0
2075-2076	Geruwa_RM	376	4187324	1434000
2075-2076	Barahatal_RM	5	41000	20000
2076-2077	Thakurbaba_M	604	9897735	5704640
2076-2077	Madhuban_M	27	215075	118000
2076-2077	Bheriganga_M	91	575400	270000
2076-2077	Barbardia_M	18	180250	91000
2076-2077	Bansgadhi_M	29	1365550	1227600
2076-2077	Baijnath_RM	0	0	0
2076-2077	Geruwa_RM	499	6099800	3914000
2076-2077	Barahatal_RM	90	1848230	1479550
2077-2078	Thakurbaba_M	85	932220	457000
2077-2078	Madhuban_M	6	64000	33000
2077-2078	Bheriganga_M	1	32775	23175
2077-2078	Barbardia_M	18	266800	138000
2077-2078	Bansgadhi_M	14	201941	138000
2077-2078	Baijnath_RM	6	54000	34000
2077-2078	Geruwa_RM	59	866859	395500
2077-2078	Barahatal_RM	67	923574	404500
2078-2079	Thakurbaba_M	571	9848450	5185300
2078-2079	Madhuban_M	68	874900	358500
2078-2079	Bheriganga_M	98	1192950	429000
2078-2079	Barbardia_M	92	1140840	556500
2078-2079	Bansgadhi_M	129	1727500	958000
2078-2079	Baijnath_RM	16	184000	115000
2078-2079	Geruwa_RM	614	9719000	5218700
2078-2079	Barahatal_RM	339	4200500	2060000
2079-2080	Thakurbaba_M	375	5067837	2740430
2079-2080	Madhuban_M	64	811650	442000
2079-2080	Bheriganga_M	224	4689000	2891800
2079-2080	Barbardia_M	46	1547000	1321500
2079-2080	Bansgadhi_M	62	920000	491500
2079-2080	Baijnath_RM	2	32000	16000
2079-2080	Geruwa_RM	178	3096280	1102500
2079-2080	Barahatal_RM	279	3551500	1690000
